idade,idade_float,faixa
59,59.0,maior de idade
71,71.0,maior de idade
71,71.0,maior de idade
61,61.0,maior de idade
53,53.0,maior de idade
94,94.0,maior de idade
65,65.0,maior de idade
60,60.0,maior de idade
67,67.0,maior de idade
79,79.0,maior de idade
62,62.0,maior de idade
61,61.0,maior de idade
48,48.0,maior de idade
57,57.0,maior de idade
55,55.0,maior de idade
76,76.0,maior de idade
58,58.0,maior de idade
63,63.0,maior de idade
53,53.0,maior de idade
86,86.0,maior de idade
70,70.0,maior de idade
44,44.0,maior de idade
53,53.0,maior de idade
41,41.0,maior de idade
86,86.0,maior de idade
68,68.0,maior de idade
73,73.0,maior de idade
73,73.0,maior de idade
95,95.0,maior de idade
77,77.0,maior de idade
66,66.0,maior de idade
75,75.0,maior de idade
59,59.0,maior de idade
56,56.0,maior de idade
59,59.0,maior de idade
46,46.0,maior de idade
53,53.0,maior de idade
73,73.0,maior de idade
51,51.0,maior de idade
84,84.0,maior de idade
67,67.0,maior de idade
55,55.0,maior de idade
68,68.0,maior de idade
68,68.0,maior de idade
66,66.0,maior de idade
63,63.0,maior de idade
17,17.0,menor de idade
65,65.0,maior de idade
67,67.0,maior de idade
56,56.0,maior de idade
54,54.0,maior de idade
73,73.0,maior de idade
63,63.0,maior de idade
80,80.0,maior de idade
35,35.0,maior de idade
45,45.0,maior de idade
56,56.0,maior de idade
63,63.0,maior de idade
61,61.0,maior de idade
43,43.0,maior de idade
36,36.0,maior de idade
67,67.0,maior de idade
86,86.0,maior de idade
47,47.0,maior de idade
61,61.0,maior de idade
55,55.0,maior de idade
60,60.0,maior de idade
49,49.0,maior de idade
47,47.0,maior de idade
65,65.0,maior de idade
48,48.0,maior de idade
55,55.0,maior de idade
61,61.0,maior de idade
81,81.0,maior de idade
73,73.0,maior de idade
23,23.0,maior de idade
58,58.0,maior de idade
53,53.0,maior de idade
49,49.0,maior de idade
61,61.0,maior de idade
61,61.0,maior de idade
50,50.0,maior de idade
72,72.0,maior de idade
60,60.0,maior de idade
73,73.0,maior de idade
61,61.0,maior de idade
54,54.0,maior de idade
33,33.0,maior de idade
27,27.0,maior de idade
17,17.0,menor de idade
66,66.0,maior de idade
63,63.0,maior de idade
71,71.0,maior de idade
60,60.0,maior de idade
19,19.0,maior de idade
40,40.0,maior de idade
48,48.0,maior de idade
61,61.0,maior de idade
64,64.0,maior de idade
85,85.0,maior de idade
83,83.0,maior de idade
45,45.0,maior de idade
73,73.0,maior de idade
69,69.0,maior de idade
56,56.0,maior de idade
48,48.0,maior de idade
62,62.0,maior de idade
63,63.0,maior de idade
59,59.0,maior de idade
27,27.0,maior de idade
72,72.0,maior de idade
60,60.0,maior de idade
24,24.0,maior de idade
73,73.0,maior de idade
60,60.0,maior de idade
45,45.0,maior de idade
60,60.0,maior de idade
67,67.0,maior de idade
72,72.0,maior de idade
67,67.0,maior de idade
61,61.0,maior de idade
54,54.0,maior de idade
57,57.0,maior de idade
67,67.0,maior de idade
79,79.0,maior de idade
65,65.0,maior de idade
88,88.0,maior de idade
54,54.0,maior de idade
75,75.0,maior de idade
76,76.0,maior de idade
58,58.0,maior de idade
82,82.0,maior de idade
53,53.0,maior de idade
59,59.0,maior de idade
57,57.0,maior de idade
73,73.0,maior de idade
64,64.0,maior de idade
62,62.0,maior de idade
41,41.0,maior de idade
62,62.0,maior de idade
31,31.0,maior de idade
73,73.0,maior de idade
54,54.0,maior de idade
42,42.0,maior de idade
64,64.0,maior de idade
54,54.0,maior de idade
62,62.0,maior de idade
59,59.0,maior de idade
79,79.0,maior de idade
28,28.0,maior de idade
62,62.0,maior de idade
72,72.0,maior de idade
48,48.0,maior de idade
52,52.0,maior de idade
64,64.0,maior de idade
14,14.0,menor de idade
39,39.0,maior de idade
74,74.0,maior de idade
60,60.0,maior de idade
77,77.0,maior de idade
50,50.0,maior de idade
49,49.0,maior de idade
41,41.0,maior de idade
48,48.0,maior de idade
59,59.0,maior de idade
40,40.0,maior de idade
63,63.0,maior de idade
53,53.0,maior de idade
37,37.0,maior de idade
52,52.0,maior de idade
67,67.0,maior de idade
28,28.0,maior de idade
75,75.0,maior de idade
43,43.0,maior de idade
38,38.0,maior de idade
58,58.0,maior de idade
57,57.0,maior de idade
72,72.0,maior de idade
55,55.0,maior de idade
62,62.0,maior de idade
63,63.0,maior de idade
69,69.0,maior de idade
53,53.0,maior de idade
53,53.0,maior de idade
31,31.0,maior de idade
45,45.0,maior de idade
75,75.0,maior de idade
71,71.0,maior de idade
34,34.0,maior de idade
60,60.0,maior de idade
49,49.0,maior de idade
71,71.0,maior de idade
71,71.0,maior de idade
37,37.0,maior de idade
55,55.0,maior de idade
70,70.0,maior de idade
64,64.0,maior de idade
58,58.0,maior de idade
64,64.0,maior de idade
76,76.0,maior de idade
51,51.0,maior de idade
34,34.0,maior de idade
38,38.0,maior de idade
28,28.0,maior de idade
24,24.0,maior de idade
49,49.0,maior de idade
41,41.0,maior de idade
50,50.0,maior de idade
34,34.0,maior de idade
43,43.0,maior de idade
26,26.0,maior de idade
50,50.0,maior de idade
31,31.0,maior de idade
63,63.0,maior de idade
45,45.0,maior de idade
71,71.0,maior de idade
50,50.0,maior de idade
72,72.0,maior de idade
55,55.0,maior de idade
30,30.0,maior de idade
71,71.0,maior de idade
62,62.0,maior de idade
76,76.0,maior de idade
52,52.0,maior de idade
38,38.0,maior de idade
83,83.0,maior de idade
52,52.0,maior de idade
71,71.0,maior de idade
37,37.0,maior de idade
62,62.0,maior de idade
48,48.0,maior de idade
75,75.0,maior de idade
48,48.0,maior de idade
54,54.0,maior de idade
46,46.0,maior de idade
72,72.0,maior de idade
53,53.0,maior de idade
45,45.0,maior de idade
40,40.0,maior de idade
38,38.0,maior de idade
48,48.0,maior de idade
32,32.0,maior de idade
52,52.0,maior de idade
30,30.0,maior de idade
38,38.0,maior de idade
49,49.0,maior de idade
43,43.0,maior de idade
26,26.0,maior de idade
57,57.0,maior de idade
24,24.0,maior de idade
41,41.0,maior de idade
50,50.0,maior de idade
75,75.0,maior de idade
56,56.0,maior de idade
56,56.0,maior de idade
32,32.0,maior de idade
79,79.0,maior de idade
44,44.0,maior de idade
46,46.0,maior de idade
59,59.0,maior de idade
59,59.0,maior de idade
65,65.0,maior de idade
71,71.0,maior de idade
60,60.0,maior de idade
65,65.0,maior de idade
50,50.0,maior de idade
51,51.0,maior de idade
37,37.0,maior de idade
60,60.0,maior de idade
66,66.0,maior de idade
47,47.0,maior de idade
55,55.0,maior de idade
43,43.0,maior de idade
75,75.0,maior de idade
64,64.0,maior de idade
60,60.0,maior de idade
62,62.0,maior de idade
73,73.0,maior de idade
62,62.0,maior de idade
8,8.0,menor de idade
38,38.0,maior de idade
23,23.0,maior de idade
33,33.0,maior de idade
3,3.0,menor de idade
18,18.0,maior de idade
39,39.0,maior de idade
63,63.0,maior de idade
25,25.0,maior de idade
44,44.0,maior de idade
61,61.0,maior de idade
30,30.0,maior de idade
65,65.0,maior de idade
52,52.0,maior de idade
21,21.0,maior de idade
28,28.0,maior de idade
17,17.0,menor de idade
38,38.0,maior de idade
45,45.0,maior de idade
40,40.0,maior de idade
54,54.0,maior de idade
34,34.0,maior de idade
52,52.0,maior de idade
39,39.0,maior de idade
60,60.0,maior de idade
27,27.0,maior de idade
54,54.0,maior de idade
40,40.0,maior de idade
41,41.0,maior de idade
57,57.0,maior de idade
48,48.0,maior de idade
49,49.0,maior de idade
26,26.0,maior de idade
28,28.0,maior de idade
50,50.0,maior de idade
60,60.0,maior de idade
49,49.0,maior de idade
59,59.0,maior de idade
44,44.0,maior de idade
54,54.0,maior de idade
66,66.0,maior de idade
49,49.0,maior de idade
71,71.0,maior de idade
41,41.0,maior de idade
69,69.0,maior de idade
68,68.0,maior de idade
57,57.0,maior de idade
56,56.0,maior de idade
55,55.0,maior de idade
60,60.0,maior de idade
20,20.0,maior de idade
66,66.0,maior de idade
52,52.0,maior de idade
61,61.0,maior de idade
64,64.0,maior de idade
34,34.0,maior de idade
41,41.0,maior de idade
83,83.0,maior de idade
42,42.0,maior de idade
64,64.0,maior de idade
43,43.0,maior de idade
48,48.0,maior de idade
57,57.0,maior de idade
38,38.0,maior de idade
5,5.0,menor de idade
35,35.0,maior de idade
73,73.0,maior de idade
61,61.0,maior de idade
38,38.0,maior de idade
77,77.0,maior de idade
27,27.0,maior de idade
62,62.0,maior de idade
50,50.0,maior de idade
63,63.0,maior de idade
61,61.0,maior de idade
40,40.0,maior de idade
41,41.0,maior de idade
52,52.0,maior de idade
22,22.0,maior de idade
51,51.0,maior de idade
48,48.0,maior de idade
81,81.0,maior de idade
35,35.0,maior de idade
33,33.0,maior de idade
50,50.0,maior de idade
83,83.0,maior de idade
59,59.0,maior de idade
73,73.0,maior de idade
20,20.0,maior de idade
68,68.0,maior de idade
61,61.0,maior de idade
75,75.0,maior de idade
11,11.0,menor de idade
46,46.0,maior de idade
59,59.0,maior de idade
54,54.0,maior de idade
21,21.0,maior de idade
37,37.0,maior de idade
7,7.0,menor de idade
63,63.0,maior de idade
29,29.0,maior de idade
77,77.0,maior de idade
61,61.0,maior de idade
48,48.0,maior de idade
62,62.0,maior de idade
39,39.0,maior de idade
47,47.0,maior de idade
38,38.0,maior de idade
54,54.0,maior de idade
30,30.0,maior de idade
53,53.0,maior de idade
71,71.0,maior de idade
75,75.0,maior de idade
57,57.0,maior de idade
63,63.0,maior de idade
56,56.0,maior de idade
49,49.0,maior de idade
26,26.0,maior de idade
33,33.0,maior de idade
71,71.0,maior de idade
24,24.0,maior de idade
43,43.0,maior de idade
34,34.0,maior de idade
46,46.0,maior de idade
63,63.0,maior de idade
47,47.0,maior de idade
44,44.0,maior de idade
72,72.0,maior de idade
50,50.0,maior de idade
28,28.0,maior de idade
69,69.0,maior de idade
54,54.0,maior de idade
17,17.0,menor de idade
79,79.0,maior de idade
39,39.0,maior de idade
79,79.0,maior de idade
56,56.0,maior de idade
35,35.0,maior de idade
35,35.0,maior de idade
39,39.0,maior de idade
26,26.0,maior de idade
49,49.0,maior de idade
28,28.0,maior de idade
35,35.0,maior de idade
52,52.0,maior de idade
41,41.0,maior de idade
56,56.0,maior de idade
49,49.0,maior de idade
27,27.0,maior de idade
29,29.0,maior de idade
58,58.0,maior de idade
36,36.0,maior de idade
45,45.0,maior de idade
39,39.0,maior de idade
35,35.0,maior de idade
63,63.0,maior de idade
64,64.0,maior de idade
17,17.0,menor de idade
22,22.0,maior de idade
58,58.0,maior de idade
26,26.0,maior de idade
63,63.0,maior de idade
27,27.0,maior de idade
29,29.0,maior de idade
30,30.0,maior de idade
43,43.0,maior de idade
55,55.0,maior de idade
59,59.0,maior de idade
40,40.0,maior de idade
67,67.0,maior de idade
20,20.0,maior de idade
45,45.0,maior de idade
21,21.0,maior de idade
20,20.0,maior de idade
33,33.0,maior de idade
18,18.0,maior de idade
62,62.0,maior de idade
51,51.0,maior de idade
19,19.0,maior de idade
31,31.0,maior de idade
28,28.0,maior de idade
74,74.0,maior de idade
27,27.0,maior de idade
60,60.0,maior de idade
33,33.0,maior de idade
57,57.0,maior de idade
55,55.0,maior de idade
31,31.0,maior de idade
25,25.0,maior de idade
51,51.0,maior de idade
64,64.0,maior de idade
39,39.0,maior de idade
75,75.0,maior de idade
51,51.0,maior de idade
53,53.0,maior de idade
54,54.0,maior de idade
34,34.0,maior de idade
67,67.0,maior de idade
58,58.0,maior de idade
31,31.0,maior de idade
38,38.0,maior de idade
57,57.0,maior de idade
68,68.0,maior de idade
51,51.0,maior de idade
31,31.0,maior de idade
46,46.0,maior de idade
29,29.0,maior de idade
39,39.0,maior de idade
66,66.0,maior de idade
49,49.0,maior de idade
48,48.0,maior de idade
42,42.0,maior de idade
53,53.0,maior de idade
54,54.0,maior de idade
58,58.0,maior de idade
25,25.0,maior de idade
45,45.0,maior de idade
51,51.0,maior de idade
74,74.0,maior de idade
57,57.0,maior de idade
65,65.0,maior de idade
41,41.0,maior de idade
44,44.0,maior de idade
81,81.0,maior de idade
44,44.0,maior de idade
73,73.0,maior de idade
62,62.0,maior de idade
59,59.0,maior de idade
73,73.0,maior de idade
25,25.0,maior de idade
48,48.0,maior de idade
57,57.0,maior de idade
54,54.0,maior de idade
5,5.0,menor de idade
46,46.0,maior de idade
80,80.0,maior de idade
75,75.0,maior de idade
6,6.0,menor de idade
53,53.0,maior de idade
48,48.0,maior de idade
11,11.0,menor de idade
15,15.0,menor de idade
9,9.0,menor de idade
59,59.0,maior de idade
26,26.0,maior de idade
87,87.0,maior de idade
71,71.0,maior de idade
6,6.0,menor de idade
3,3.0,menor de idade
62,62.0,maior de idade
19,19.0,maior de idade
66,66.0,maior de idade
79,79.0,maior de idade
17,17.0,menor de idade
53,53.0,maior de idade
12,12.0,menor de idade
9,9.0,menor de idade
14,14.0,menor de idade
2,2.0,menor de idade
11,11.0,menor de idade
8,8.0,menor de idade
57,57.0,maior de idade
62,62.0,maior de idade
58,58.0,maior de idade
57,57.0,maior de idade
45,45.0,maior de idade
28,28.0,maior de idade
39,39.0,maior de idade
24,24.0,maior de idade
16,16.0,menor de idade
42,42.0,maior de idade
46,46.0,maior de idade
46,46.0,maior de idade
54,54.0,maior de idade
56,56.0,maior de idade
38,38.0,maior de idade
5,5.0,menor de idade
49,49.0,maior de idade
26,26.0,maior de idade
50,50.0,maior de idade
4,4.0,menor de idade
42,42.0,maior de idade
4,4.0,menor de idade
67,67.0,maior de idade
25,25.0,maior de idade
25,25.0,maior de idade
20,20.0,maior de idade
24,24.0,maior de idade
66,66.0,maior de idade
5,5.0,menor de idade
71,71.0,maior de idade
66,66.0,maior de idade
25,25.0,maior de idade
26,26.0,maior de idade
5,5.0,menor de idade
39,39.0,maior de idade
64,64.0,maior de idade
40,40.0,maior de idade
47,47.0,maior de idade
60,60.0,maior de idade
83,83.0,maior de idade
51,51.0,maior de idade
29,29.0,maior de idade
50,50.0,maior de idade
52,52.0,maior de idade
54,54.0,maior de idade
16,16.0,menor de idade
57,57.0,maior de idade
55,55.0,maior de idade
70,70.0,maior de idade
54,54.0,maior de idade
19,19.0,maior de idade
17,17.0,menor de idade
84,84.0,maior de idade
57,57.0,maior de idade
62,62.0,maior de idade
66,66.0,maior de idade
45,45.0,maior de idade
59,59.0,maior de idade
60,60.0,maior de idade
53,53.0,maior de idade
29,29.0,maior de idade
24,24.0,maior de idade
40,40.0,maior de idade
70,70.0,maior de idade
19,19.0,maior de idade
71,71.0,maior de idade
44,44.0,maior de idade
61,61.0,maior de idade
31,31.0,maior de idade
51,51.0,maior de idade
75,75.0,maior de idade
84,84.0,maior de idade
56,56.0,maior de idade
52,52.0,maior de idade
47,47.0,maior de idade
77,77.0,maior de idade
43,43.0,maior de idade
40,40.0,maior de idade
32,32.0,maior de idade
18,18.0,maior de idade
28,28.0,maior de idade
29,29.0,maior de idade
52,52.0,maior de idade
54,54.0,maior de idade
49,49.0,maior de idade
52,52.0,maior de idade
40,40.0,maior de idade
44,44.0,maior de idade
51,51.0,maior de idade
28,28.0,maior de idade
60,60.0,maior de idade
50,50.0,maior de idade
29,29.0,maior de idade
32,32.0,maior de idade
35,35.0,maior de idade
28,28.0,maior de idade
20,20.0,maior de idade
34,34.0,maior de idade
12,12.0,menor de idade
26,26.0,maior de idade
28,28.0,maior de idade
17,17.0,menor de idade
27,27.0,maior de idade
23,23.0,maior de idade
0,0.0,menor de idade
56,56.0,maior de idade
68,68.0,maior de idade
68,68.0,maior de idade
54,54.0,maior de idade
56,56.0,maior de idade
28,28.0,maior de idade
9,9.0,menor de idade
39,39.0,maior de idade
29,29.0,maior de idade
16,16.0,menor de idade
26,26.0,maior de idade
62,62.0,maior de idade
23,23.0,maior de idade
18,18.0,maior de idade
20,20.0,maior de idade
7,7.0,menor de idade
45,45.0,maior de idade
17,17.0,menor de idade
55,55.0,maior de idade
46,46.0,maior de idade
74,74.0,maior de idade
37,37.0,maior de idade
65,65.0,maior de idade
2,2.0,menor de idade
0,0.0,menor de idade
1,1.0,menor de idade
52,52.0,maior de idade
49,49.0,maior de idade
24,24.0,maior de idade
30,30.0,maior de idade
1,1.0,menor de idade
78,78.0,maior de idade
53,53.0,maior de idade
48,48.0,maior de idade
58,58.0,maior de idade
23,23.0,maior de idade
28,28.0,maior de idade
40,40.0,maior de idade
34,34.0,maior de idade
50,50.0,maior de idade
27,27.0,maior de idade
41,41.0,maior de idade
28,28.0,maior de idade
26,26.0,maior de idade
25,25.0,maior de idade
24,24.0,maior de idade
17,17.0,menor de idade
17,17.0,menor de idade
27,27.0,maior de idade
25,25.0,maior de idade
24,24.0,maior de idade
40,40.0,maior de idade
20,20.0,maior de idade
35,35.0,maior de idade
46,46.0,maior de idade
49,49.0,maior de idade
41,41.0,maior de idade
39,39.0,maior de idade
49,49.0,maior de idade
39,39.0,maior de idade
60,60.0,maior de idade
36,36.0,maior de idade
52,52.0,maior de idade
34,34.0,maior de idade
55,55.0,maior de idade
47,47.0,maior de idade
47,47.0,maior de idade
64,64.0,maior de idade
50,50.0,maior de idade
52,52.0,maior de idade
61,61.0,maior de idade
55,55.0,maior de idade
49,49.0,maior de idade
54,54.0,maior de idade
60,60.0,maior de idade
72,72.0,maior de idade
57,57.0,maior de idade
31,31.0,maior de idade
71,71.0,maior de idade
60,60.0,maior de idade
35,35.0,maior de idade
47,47.0,maior de idade
29,29.0,maior de idade
62,62.0,maior de idade
50,50.0,maior de idade
55,55.0,maior de idade
66,66.0,maior de idade
37,37.0,maior de idade
47,47.0,maior de idade
60,60.0,maior de idade
45,45.0,maior de idade
47,47.0,maior de idade
23,23.0,maior de idade
43,43.0,maior de idade
60,60.0,maior de idade
62,62.0,maior de idade
69,69.0,maior de idade
69,69.0,maior de idade
56,56.0,maior de idade
45,45.0,maior de idade
59,59.0,maior de idade
59,59.0,maior de idade
24,24.0,maior de idade
42,42.0,maior de idade
37,37.0,maior de idade
18,18.0,maior de idade
18,18.0,maior de idade
16,16.0,menor de idade
21,21.0,maior de idade
43,43.0,maior de idade
48,48.0,maior de idade
40,40.0,maior de idade
48,48.0,maior de idade
21,21.0,maior de idade
15,15.0,menor de idade
15,15.0,menor de idade
13,13.0,menor de idade
18,18.0,maior de idade
17,17.0,menor de idade
19,19.0,maior de idade
16,16.0,menor de idade
19,19.0,maior de idade
18,18.0,maior de idade
16,16.0,menor de idade
17,17.0,menor de idade
15,15.0,menor de idade
19,19.0,maior de idade
17,17.0,menor de idade
17,17.0,menor de idade
15,15.0,menor de idade
16,16.0,menor de idade
13,13.0,menor de idade
14,14.0,menor de idade
16,16.0,menor de idade
14,14.0,menor de idade
16,16.0,menor de idade
16,16.0,menor de idade
13,13.0,menor de idade
18,18.0,maior de idade
69,69.0,maior de idade
70,70.0,maior de idade
70,70.0,maior de idade
70,70.0,maior de idade
75,75.0,maior de idade
86,86.0,maior de idade
69,69.0,maior de idade
70,70.0,maior de idade
81,81.0,maior de idade
80,80.0,maior de idade
82,82.0,maior de idade
66,66.0,maior de idade
72,72.0,maior de idade
75,75.0,maior de idade
67,67.0,maior de idade
69,69.0,maior de idade
66,66.0,maior de idade
76,76.0,maior de idade
81,81.0,maior de idade
41,41.0,maior de idade
64,64.0,maior de idade
52,52.0,maior de idade
80,80.0,maior de idade
74,74.0,maior de idade
73,73.0,maior de idade
72,72.0,maior de idade
77,77.0,maior de idade
78,78.0,maior de idade
63,63.0,maior de idade
71,71.0,maior de idade
65,65.0,maior de idade
55,55.0,maior de idade
72,72.0,maior de idade
72,72.0,maior de idade
62,62.0,maior de idade
41,41.0,maior de idade
57,57.0,maior de idade
77,77.0,maior de idade
59,59.0,maior de idade
41,41.0,maior de idade
62,62.0,maior de idade
65,65.0,maior de idade
35,35.0,maior de idade
59,59.0,maior de idade
70,70.0,maior de idade
56,56.0,maior de idade
75,75.0,maior de idade
41,41.0,maior de idade
35,35.0,maior de idade
30,30.0,maior de idade
58,58.0,maior de idade
39,39.0,maior de idade
56,56.0,maior de idade
60,60.0,maior de idade
83,83.0,maior de idade
29,29.0,maior de idade
45,45.0,maior de idade
40,40.0,maior de idade
92,92.0,maior de idade
12,12.0,menor de idade
40,40.0,maior de idade
42,42.0,maior de idade
25,25.0,maior de idade
58,58.0,maior de idade
84,84.0,maior de idade
40,40.0,maior de idade
61,61.0,maior de idade
56,56.0,maior de idade
85,85.0,maior de idade
63,63.0,maior de idade
43,43.0,maior de idade
23,23.0,maior de idade
67,67.0,maior de idade
57,57.0,maior de idade
73,73.0,maior de idade
46,46.0,maior de idade
23,23.0,maior de idade
43,43.0,maior de idade
70,70.0,maior de idade
38,38.0,maior de idade
65,65.0,maior de idade
40,40.0,maior de idade
67,67.0,maior de idade
59,59.0,maior de idade
41,41.0,maior de idade
24,24.0,maior de idade
59,59.0,maior de idade
35,35.0,maior de idade
39,39.0,maior de idade
56,56.0,maior de idade
42,42.0,maior de idade
56,56.0,maior de idade
69,69.0,maior de idade
63,63.0,maior de idade
71,71.0,maior de idade
1,1.0,menor de idade
17,17.0,menor de idade
0,0.0,menor de idade
